iter	RMSE
0	0.8602959487
1	0.7926779954
2	0.73212995
3	0.6756109937
4	0.6277308341
5	0.5806853431
6	0.5396243217
7	0.4995961968
8	0.4658940393
9	0.434834328
10	0.4061233227
11	0.3796476813
12	0.3535083936
13	0.3313462597
14	0.310153462
15	0.2916800901
16	0.274615473
17	0.2595522471
18	0.2448671109
19	0.2317423991
20	0.2204924619
21	0.2105332346
22	0.2009059748
23	0.1930401522
24	0.1844648891
25	0.177724979
26	0.1704380733
27	0.1636676062
28	0.157473745
29	0.1527247285
30	0.1480806964
31	0.1434332603
32	0.1393197115
33	0.1349340758
34	0.1317544918
35	0.128488884
36	0.1256340547
37	0.1226355135
38	0.1201558199
39	0.1176066266
40	0.114408643
41	0.1117665634
42	0.1094453714
43	0.1072565261
44	0.1049896669
45	0.1034915044
46	0.1016996745
47	0.100394799
48	0.09887479408
49	0.09736774928
50	0.0957699017
51	0.09509208806
52	0.09390867084
53	0.0929495843
54	0.09112924196
55	0.08935643838
56	0.08791658967
57	0.08661880514
58	0.08595131823
59	0.0848870006
60	0.08432759887
61	0.0840052741
62	0.08248834029
63	0.08118488144
64	0.07980206079
65	0.07869466665
66	0.07842158829
67	0.07724077543
68	0.07682243255
69	0.07560640734
70	0.07434331176
71	0.07385914007
72	0.07341713102
73	0.07327908315
74	0.07226595435
75	0.07138326013
76	0.07093999643
77	0.0696378697
78	0.06914686515
79	0.06892913199
80	0.06792526709
81	0.06691802291
82	0.06617350974
83	0.06598590377
84	0.06577225798
85	0.06456071307
86	0.06378112643
87	0.06315972686
88	0.06286970256
89	0.06271898154
90	0.06260268878
91	0.06169299968
92	0.06075419742
93	0.05982809732
94	0.05910625814
95	0.05891381006
96	0.05805845721
97	0.05738483796
98	0.05722647655
99	0.05635575904
100	0.05621131515
101	0.0555918475
102	0.0554568449
103	0.0552742612
104	0.05462646961
105	0.05403160501
106	0.05350222704
107	0.05342160867
108	0.05263629147
109	0.05212022766
110	0.05197897426
111	0.0514709043
112	0.05095593717
113	0.05051023371
114	0.04992573675
115	0.04945479312
116	0.0493366683
117	0.04888661728
118	0.04838647915
119	0.04790876489
120	0.04752871512
121	0.04741737366
122	0.04698669531
123	0.04681920881
124	0.04624024324
125	0.04585981445
126	0.04546644882
127	0.0453830784
128	0.04528576663
129	0.04480346504
130	0.04443918535
131	0.04410025105
132	0.04367820282
133	0.04358634316
134	0.04350865386
135	0.0434189869
136	0.04338112187
137	0.04295013668
138	0.04288688754
139	0.04254263098
140	0.04225520097
141	0.04190973854
142	0.04160959977
143	0.04153171267
144	0.04126092837
145	0.04089626704
146	0.04038866229
147	0.04033127279
148	0.04007739354
149	0.03979217515
150	0.03946114653
151	0.0391878546
152	0.03894157779
153	0.03888947808
154	0.03858909981
155	0.03829216266
156	0.03809724116
157	0.03786935667
158	0.037600395
159	0.0372508485
160	0.03698967183
161	0.03674204358
162	0.03655845728
163	0.03624718722
164	0.03596797897
165	0.03584089374
166	0.03555657355
167	0.03535459561
168	0.03512299349
169	0.03498523142
170	0.03496061957
171	0.03479157454
172	0.03447972619
173	0.03427542798
174	0.03402451203
175	0.03387244466
176	0.03362641297
177	0.03348486344
178	0.03331441872
179	0.03315657175
180	0.03300035493
181	0.03282928319
182	0.03260839936
183	0.03258831675
184	0.03255273691
185	0.03251138928
186	0.03232696083
187	0.03218977848
188	0.03207366876
189	0.03191999078
190	0.03188814022
191	0.03174040067
192	0.03151032683
193	0.03131628681
194	0.03129733726
195	0.03108113893
196	0.03106464829
197	0.03092216767
198	0.03081393928
199	0.03065552035
200	0.03062777985
201	0.03049148973
202	0.03026379618
203	0.03024645183
204	0.0301479391
205	0.03012673748
206	0.03010640137
207	0.02990041422
208	0.02970485829
209	0.02950877848
210	0.0293851718
211	0.02936731736
212	0.02934443835
213	0.029137819
214	0.02897294576
215	0.02895710161
216	0.02879640881
217	0.02871484593
218	0.02858691837
219	0.02857143579
220	0.02846300512
221	0.02844726847
222	0.02831360913
223	0.02821577147
224	0.02811058134
225	0.02808203756
226	0.02806724787
227	0.02805159441
228	0.02794017577
229	0.02786938105
230	0.02785410268
231	0.02769824784
232	0.0275876965
233	0.02757430009
234	0.02756119149
235	0.02742959747
