,bedroom,price,area,bathroom,price_per_sqft,bed_bath_ratio,price_log
bedroom,1.0,0.36971757428049257,0.7161449898832545,0.7948854397283499,0.13767231113675713,0.20409538789676385,0.5963464222904215
price,0.36971757428049257,1.0,0.4135507582245197,0.44121522895556914,0.5515667400481801,-0.11281786410290018,0.6356326884882474
area,0.7161449898832545,0.4135507582245197,1.0,0.7407030434756924,-0.0787149772397201,-0.07538133811811525,0.5679429224773601
bathroom,0.7948854397283499,0.44121522895556914,0.7407030434756924,1.0,0.1955305463709545,-0.3608825757779561,0.692095442311114
price_per_sqft,0.13767231113675713,0.5515667400481801,-0.0787149772397201,0.1955305463709545,1.0,-0.09758403143056774,0.46777575121613824
bed_bath_ratio,0.20409538789676385,-0.11281786410290018,-0.07538133811811525,-0.3608825757779561,-0.09758403143056774,1.0,-0.20524614074614167
price_log,0.5963464222904215,0.6356326884882474,0.5679429224773601,0.692095442311114,0.46777575121613824,-0.20524614074614167,1.0
